Type,Recycling Location Name,Address,City,Zip,County,Phone,Latitude,Longitude
Metal,A & S Metals,1080 W Beach St,Watsonville,95076-5130,Santa Cruz,(831) 633-3379,36.9024853,-121.7716729
Metal,Ada's Recycling,1426 Freedom Blvd,Watsonville,95076,Santa Cruz,(831) 240-9056,36.92629825,-121.7643398
Metal,Danny Recycling Center,1745 Walsh Ave,Santa Clara,95050,Santa Clara,(408) 492-9033,37.3701739,-121.9578765
Metal,Grey Bears,9835 Newell Creek Rd,Ben Lomond,95005,Santa Cruz,(831) 479-1055,37.09172055,-122.076826
Metal,JADO Recycling,4650 Meridian Ave,San Jose,95124,Santa Clara,(855) 857-8020,37.2564583,-121.8975834
Metal,M Lopez Recycling Inc,4148 Monterey Rd,San Jose,95111,Santa Clara,(530) 450-5109,37.2787609,-121.8330073
Metal,Martin's Recycling,6310 Chestnut St,Gilroy,95020,Santa Clara,(408) 910-4673,36.9943868,-121.5585762
Metal,Mountain View Recycling Center,935 Terra Bella Ave,Mountain View,94043,Santa Clara,(650) 967-3034,37.4081155,-122.0713811
Metal,Olyns,150 E El Camino Real,Sunnyvale,94087,Santa Clara,(866) 472-6432,37.36814487,-122.0326114
Metal,Olyns,20620 Homestead Rd,Cupertino,95014,Santa Clara,(866) 472-6432,37.3376557,-122.024649
Metal,Olyns,555 E Calaveras Blvd,Milpitas,95035,Santa Clara,(866) 472-6432,37.43500655,-121.8980289
Metal,Olyns,3970 Rivermark Plz,Santa Clara,95054,Santa Clara,(866) 472-6432,37.3945591,-121.9479081
Metal,Olyns,1530 Hamilton Ave,San Jose,95125,Santa Clara,(866) 472-6432,37.2932068,-121.9109793
Metal,Olyns,950 W Hamilton Ave,Campbell,95008,Santa Clara,(866) 472-6432,37.2929666,-121.9665351
Metal,Olyns,6477 Almaden Expy,San Jose,95120,Santa Clara,(866) 472-6432,37.2199849,-121.8618961
Metal,Olyns,2327 Mckee Rd,San Jose,95116,Santa Clara,(866) 472-6432,37.3673934,-121.849737
Metal,Ranch Town Recycling Center,775 Lincoln Ave,San Jose,95126,Santa Clara,(408) 292-3333,37.31558,-121.9069093
Electronics,"Metech Recycling, Inc.",6200 Engle Way,Gilroy,95020,Santa Clara,(408) 848-3050,36.989769,-121.55409
Electronics,"Pacific Coast Recycling, Inc.",5895 Obata Way,Gilroy,95020,Santa Clara,(408) 848-6811,36.98683,-121.55187
Electronics,Green EWaste Recycling Center,1664 Watson Court,Milpitas,95035,Santa Clara,(408) 898-8640,37.41089,-121.88369
Electronics,Digital Green Global,875 Jarvis Drive,Morgan Hill,95037,Santa Clara,(408) 320-1560,37.14073,-121.65163
Electronics,Leghorn Hauling,1948 Leghorn Street,Mountain View,94043,Santa Clara,(650) 716-7531,37.41898,-122.09083
Electronics,A&J Electronics Recycling E-Waste,763 Mabury Rd Unit 30,San Jose,95133,Santa Clara,(408) 490-4516,37.36393,-121.88988
Electronics,Goodwill of Silicon Valley,950 N 7th St,San Jose,95112,Santa Clara,(408) 869-9244,37.35799,-121.89775
Electronics,San Jose Conservation Corps,1534 Berger Dr,San Jose,95112,Santa Clara,(408) 283-7171,37.37175,-121.89695
Electronics,The Salvation Army (San Jose),702 W Taylor St,San Jose,95126,Santa Clara,(408) 286-3291,37.34024,-121.91384
Electronics,City of Santa Cruz,605 Dimeo Ln,Santa Cruz,95060,Santa Cruz,(831) 420-6275,36.97608,-122.10414
Electronics,Grey Bears,2710 Chanticleer Ave,Santa Cruz,95065,Santa Cruz,(831) 479-1055,36.98652,-121.97836
Electronics,"Peninsula Sanitary Service, Inc.",339 Bonair Siding Rd,Stanford,94305,Santa Clara,(650) 321-4236,37.43159,-122.16183
Electronics,"Bay Counties Waste Services, Inc.",301 Carl Rd,Sunnyvale,94089,Santa Clara,(408) 752-8530,37.41895,-122.01696
Electronics,Santa Cruz County,1231 Buena Vista Dr,Watsonville,95076-8310,Santa Cruz,(831) 454-2160,36.91552,-121.81636
Household Hazardous Waste (HHW),M & R Automotive,1281 El Camino Real,Menlo Park,94025,San Mateo,(831) 633-3379,37.45484875,-122.1863038
Household Hazardous Waste (HHW),O’Reilly Auto Parts #3481,1905 Tully Rd,San Jose,95122,Santa Clara,(831) 240-9056,37.3243063,-121.8238366
Household Hazardous Waste (HHW),O’Reilly Auto Parts #3447,3489 McKee Rd,San Jose,95127,Santa Clara,(408) 492-9033,37.3818287,-121.827806
Household Hazardous Waste (HHW),O’Reilly Auto Parts #2604,411 May Ave,Santa Cruz,95060,Santa Cruz,(831) 479-1055,36.98023303,-122.0204584
Household Hazardous Waste (HHW),O’Reilly Auto Parts #2763,1475 A 41st Ave,Capitola,95010,Santa Cruz,(855) 857-8020,36.9765783,-121.9650168
Household Hazardous Waste (HHW),9 Minute Oil & Lube Co,3839 El Camino Real,Palo Alto,94306,Santa Clara,(530) 450-5109,37.4298828,-122.1517636
Household Hazardous Waste (HHW),Pep Boys #840,170 E El Camino Real,Sunnyvale,94087,Santa Clara,(408) 910-4673,37.3681046,-122.0325315
Household Hazardous Waste (HHW),Firestone #022845 Tully Road,1895 Tully Road,San Jose,95122,Santa Clara,(650) 967-3034,37.32388335,-121.8244388
Household Hazardous Waste (HHW),Pep Boys #828,2730 Story Rd,San Jose,95127,Santa Clara,(866) 472-6432,37.351011,-121.8258922
Household Hazardous Waste (HHW),Pep Boys #873,3780 Stevens Crk Blvd,San Jose,95117,Santa Clara,(866) 472-6432,37.32282605,-121.9680185
Household Hazardous Waste (HHW),O’Reilly Auto Parts #2854,813 E El Camino Real,Sunnyvale,94087,Santa Clara,(866) 472-6432,37.37007421,-122.0415022
Household Hazardous Waste (HHW),O’Reilly Auto Parts #2913,2027 El Camino Real,Santa Clara,95050,Santa Clara,(866) 472-6432,37.3530378,-121.960403
Household Hazardous Waste (HHW),Ernie's Service Center,6281 Graham Hill Road,Felton,95018,Santa Cruz,(866) 472-6432,37.0522991,-122.0715044
Household Hazardous Waste (HHW),O’Reilly Auto Parts #3531,1170 Blossom Hill Rd,San Jose,95118,Santa Clara,(866) 472-6432,37.24977675,-121.8783301
Household Hazardous Waste (HHW),AutoZone #3324,1502 Freedom Blvd.,Watsonville,95076,Santa Cruz,(866) 472-6432,36.93055454,-121.7683373
Household Hazardous Waste (HHW),SpeeDee Oil Change and Tune Up,1825 E Capitol Expressway,San Jose,95121,Santa Clara,(866) 472-6432,37.31058845,-121.8089725
Household Hazardous Waste (HHW),AutoZone #5924,2690 Story Rd,San Jose,95122,Santa Clara,(408) 292-3333,37.35023,-121.8272337
Household Hazardous Waste (HHW),John's Bascom Automotive,1305 S. Bascom Ave.,San Jose,95128,Santa Clara,(408) 848-3050,37.3011863,-121.9322792
Household Hazardous Waste (HHW),O’Reilly Auto Parts #2629,1810 Alum Rock Ave.,San Jose,95116,Santa Clara,(408) 848-6811,37.3534934,-121.8532522
Plastic,A & S Metals,1080 W Beach St,Watsonville,95076-5130,Santa Cruz,(831) 633-3379,36.9024853,-121.7716729
Plastic,Ada's Recycling,1426 Freedom Blvd,Watsonville,95076,Santa Cruz,(831) 240-9056,36.92629825,-121.7643398
Plastic,Danny Recycling Center,1745 Walsh Ave,Santa Clara,95050,Santa Clara,(408) 492-9033,37.3701739,-121.9578765
Plastic,Grey Bears,9835 Newell Creek Rd,Ben Lomond,95005,Santa Cruz,(831) 479-1055,37.09172055,-122.076826
Plastic,JADO Recycling,4650 Meridian Ave,San Jose,95124,Santa Clara,(855) 857-8020,37.2564583,-121.8975834
Plastic,M Lopez Recycling Inc,4148 Monterey Rd,San Jose,95111,Santa Clara,(530) 450-5109,37.2787609,-121.8330073
Plastic,Martin's Recycling,6310 Chestnut St,Gilroy,95020,Santa Clara,(408) 910-4673,36.9943868,-121.5585762
Plastic,Mountain View Recycling Center,935 Terra Bella Ave,Mountain View,94043,Santa Clara,(650) 967-3034,37.4081155,-122.0713811
Plastic,Olyns,150 E El Camino Real,Sunnyvale,94087,Santa Clara,(866) 472-6432,37.36814487,-122.0326114
Plastic,Olyns,20620 Homestead Rd,Cupertino,95014,Santa Clara,(866) 472-6432,37.3376557,-122.024649
Plastic,Olyns,555 E Calaveras Blvd,Milpitas,95035,Santa Clara,(866) 472-6432,37.43500655,-121.8980289
Plastic,Olyns,3970 Rivermark Plz,Santa Clara,95054,Santa Clara,(866) 472-6432,37.3945591,-121.9479081
Plastic,Olyns,1530 Hamilton Ave,San Jose,95125,Santa Clara,(866) 472-6432,37.2932068,-121.9109793
Plastic,Olyns,950 W Hamilton Ave,Campbell,95008,Santa Clara,(866) 472-6432,37.2929666,-121.9665351
Plastic,Olyns,6477 Almaden Expy,San Jose,95120,Santa Clara,(866) 472-6432,37.2199849,-121.8618961
Plastic,Olyns,2327 Mckee Rd,San Jose,95116,Santa Clara,(866) 472-6432,37.3673934,-121.849737
Plastic,Ranch Town Recycling Center,775 Lincoln Ave,San Jose,95126,Santa Clara,(408) 292-3333,37.31558,-121.9069093
Paper,"Metech Recycling, Inc.",6200 Engle Way,Gilroy,95020,Santa Clara,(408) 848-3050,36.989769,-121.55409
Paper,"Pacific Coast Recycling, Inc.",5895 Obata Way,Gilroy,95020,Santa Clara,(408) 848-6811,36.98683,-121.55187
Paper,Green EWaste Recycling Center,1664 Watson Court,Milpitas,95035,Santa Clara,(408) 898-8640,37.41089,-121.88369
Paper,Digital Green Global,875 Jarvis Drive,Morgan Hill,95037,Santa Clara,(408) 320-1560,37.14073,-121.65163
Paper,Leghorn Hauling,1948 Leghorn Street,Mountain View,94043,Santa Clara,(650) 716-7531,37.41898,-122.09083
Paper,A&J Electronics Recycling E-Waste,763 Mabury Rd Unit 30,San Jose,95133,Santa Clara,(408) 490-4516,37.36393,-121.88988
Paper,Goodwill of Silicon Valley,950 N 7th St,San Jose,95112,Santa Clara,(408) 869-9244,37.35799,-121.89775
Paper,San Jose Conservation Corps,1534 Berger Dr,San Jose,95112,Santa Clara,(408) 283-7171,37.37175,-121.89695
Paper,The Salvation Army (San Jose),702 W Taylor St,San Jose,95126,Santa Clara,(408) 286-3291,37.34024,-121.91384
Paper,City of Santa Cruz,605 Dimeo Ln,Santa Cruz,95060,Santa Cruz,(831) 420-6275,36.97608,-122.10414
Paper,Grey Bears,2710 Chanticleer Ave,Santa Cruz,95065,Santa Cruz,(831) 479-1055,36.98652,-121.97836
Paper,"Peninsula Sanitary Service, Inc.",339 Bonair Siding Rd,Stanford,94305,Santa Clara,(650) 321-4236,37.43159,-122.16183
Paper,"Bay Counties Waste Services, Inc.",301 Carl Rd,Sunnyvale,94089,Santa Clara,(408) 752-8530,37.41895,-122.01696
Paper,Santa Cruz County,1231 Buena Vista Dr,Watsonville,95076-8310,Santa Cruz,(831) 454-2160,36.91552,-121.81636
Glass,M & R Automotive,1281 El Camino Real,Menlo Park,94025,San Mateo,(831) 633-3379,37.45484875,-122.1863038
Glass,O’Reilly Auto Parts #3481,1905 Tully Rd,San Jose,95122,Santa Clara,(831) 240-9056,37.3243063,-121.8238366
Glass,O’Reilly Auto Parts #3447,3489 McKee Rd,San Jose,95127,Santa Clara,(408) 492-9033,37.3818287,-121.827806
Glass,O’Reilly Auto Parts #2604,411 May Ave,Santa Cruz,95060,Santa Cruz,(831) 479-1055,36.98023303,-122.0204584
Glass,O’Reilly Auto Parts #2763,1475 A 41st Ave,Capitola,95010,Santa Cruz,(855) 857-8020,36.9765783,-121.9650168
Glass,9 Minute Oil & Lube Co,3839 El Camino Real,Palo Alto,94306,Santa Clara,(530) 450-5109,37.4298828,-122.1517636
Glass,Pep Boys #840,170 E El Camino Real,Sunnyvale,94087,Santa Clara,(408) 910-4673,37.3681046,-122.0325315
Glass,Firestone #022845 Tully Road,1895 Tully Road,San Jose,95122,Santa Clara,(650) 967-3034,37.32388335,-121.8244388
Glass,Pep Boys #828,2730 Story Rd,San Jose,95127,Santa Clara,(866) 472-6432,37.351011,-121.8258922
Glass,Pep Boys #873,3780 Stevens Crk Blvd,San Jose,95117,Santa Clara,(866) 472-6432,37.32282605,-121.9680185
Glass,O’Reilly Auto Parts #2854,813 E El Camino Real,Sunnyvale,94087,Santa Clara,(866) 472-6432,37.37007421,-122.0415022
Glass,O’Reilly Auto Parts #2913,2027 El Camino Real,Santa Clara,95050,Santa Clara,(866) 472-6432,37.3530378,-121.960403
Glass,Ernie's Service Center,6281 Graham Hill Road,Felton,95018,Santa Cruz,(866) 472-6432,37.0522991,-122.0715044
Glass,O’Reilly Auto Parts #3531,1170 Blossom Hill Rd,San Jose,95118,Santa Clara,(866) 472-6432,37.24977675,-121.8783301
Glass,AutoZone #3324,1502 Freedom Blvd.,Watsonville,95076,Santa Cruz,(866) 472-6432,36.93055454,-121.7683373
Glass,SpeeDee Oil Change and Tune Up,1825 E Capitol Expressway,San Jose,95121,Santa Clara,(866) 472-6432,37.31058845,-121.8089725
Glass,AutoZone #5924,2690 Story Rd,San Jose,95122,Santa Clara,(408) 292-3333,37.35023,-121.8272337
Glass,John's Bascom Automotive,1305 S. Bascom Ave.,San Jose,95128,Santa Clara,(408) 848-3050,37.3011863,-121.9322792
Glass,O’Reilly Auto Parts #2629,1810 Alum Rock Ave.,San Jose,95116,Santa Clara,(408) 848-6811,37.3534934,-121.8532522